"plate_id","well","row","col","assay_stage","assay_mode","target_id","sample_id","peptide_id","expected_activity","control_type","concentration_uM","technical_replicate","biological_replicate","raw_od"
"PRIMARY_AGO_B1","C03","C","03","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,3,1,1.0507
"PRIMARY_AGO_B1","D03","D","03","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,3,1,0.2558
"PRIMARY_AGO_B1","E03","E","03","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,3,1,0.8163
"PRIMARY_AGO_B1","F03","F","03","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,3,1,0.1886
"PRIMARY_AGO_B1","G03","G","03","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,3,1,0.5179
"PRIMARY_AGO_B1","H03","H","03","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,3,1,0.3646
"PRIMARY_AGO_B1","A04","A","04","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,1,0.2227
"PRIMARY_AGO_B1","B04","B","04","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,1,0.1748
"PRIMARY_AGO_B1","C04","C","04","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,1,1,1.0769
"PRIMARY_AGO_B1","D04","D","04","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,1,1,0.2188
"PRIMARY_AGO_B1","E04","E","04","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,1,1,0.8255
"PRIMARY_AGO_B1","F04","F","04","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,1,1,0.2023
"PRIMARY_AGO_B1","G04","G","04","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,1,1,0.5255
"PRIMARY_AGO_B1","H04","H","04","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,1,1,0.3585
"PRIMARY_AGO_B1","A05","A","05","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,1,1,1.3524
"PRIMARY_AGO_B1","B05","B","05","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,1,1,1.3127
"PRIMARY_AGO_B1","C05","C","05","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,2,1,1.0861
"PRIMARY_AGO_B1","D05","D","05","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,2,1,0.2194
"PRIMARY_AGO_B1","E05","E","05","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,2,1,0.8106
"PRIMARY_AGO_B1","F05","F","05","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,2,1,0.1998
"PRIMARY_AGO_B1","G05","G","05","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,2,1,0.491
"PRIMARY_AGO_B1","H05","H","05","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,2,1,0.3504
"PRIMARY_AGO_B1","A06","A","06","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,2,1,1.3425
"PRIMARY_AGO_B1","B06","B","06","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,2,1,1.3157
"PRIMARY_AGO_B1","C06","C","06","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,3,1,1.0891
"PRIMARY_AGO_B1","D06","D","06","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,3,1,0.2313
"PRIMARY_AGO_B1","E06","E","06","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,3,1,0.8036
"PRIMARY_AGO_B1","F06","F","06","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,3,1,0.2152
"PRIMARY_AGO_B1","G06","G","06","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,3,1,0.5103
"PRIMARY_AGO_B1","H06","H","06","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,3,1,0.3673
"PRIMARY_AGO_B1","A07","A","07","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,1,1,0.7748
"PRIMARY_AGO_B1","B07","B","07","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,1,1,0.7679
"PRIMARY_AGO_B1","C07","C","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","D07","D","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","E07","E","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","F07","F","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","G07","G","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","H07","H","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","A08","A","08","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,2,1,0.7839
"PRIMARY_AGO_B1","B08","B","08","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,2,1,0.7506
"PRIMARY_AGO_B1","C08","C","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","D08","D","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","E08","E","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","F08","F","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","G08","G","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","H08","H","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","A09","A","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","B09","B","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","C09","C","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","D09","D","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","E09","E","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","F09","F","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","G09","G","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","H09","H","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","A10","A","10","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","B10","B","10","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","C10","C","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1,0.1989
"PRIMARY_AGO_B1","D10","D","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1,0.1877
"PRIMARY_AGO_B1","E10","E","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1,0.1811
"PRIMARY_AGO_B1","F10","F","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1,0.1833
"PRIMARY_AGO_B1","G10","G","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1,0.1882
"PRIMARY_AGO_B1","H10","H","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1,0.2011
"PRIMARY_AGO_B1","A11","A","11","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","B11","B","11","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","C11","C","11","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1,0.1441
"PRIMARY_AGO_B1","D11","D","11","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1,0.1834
"PRIMARY_AGO_B1","E11","E","11","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1,0.1756
"PRIMARY_AGO_B1","F11","F","11","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1,0.1822
"PRIMARY_AGO_B1","G11","G","11","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1,0.187
"PRIMARY_AGO_B1","H11","H","11","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1,0.2168
"PRIMARY_AGO_B1","A12","A","12","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","B12","B","12","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1,NA
"PRIMARY_AGO_B1","C12","C","12","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1,0.1863
"PRIMARY_AGO_B1","D12","D","12","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1,0.2106
"PRIMARY_AGO_B1","E12","E","12","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1,0.199
"PRIMARY_AGO_B1","F12","F","12","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1,0.2075
"PRIMARY_AGO_B1","G12","G","12","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1,0.206
"PRIMARY_AGO_B1","H12","H","12","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1,0.2237
"PRIMARY_AGO_B2","A01","A","01","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,2,0.1391
"PRIMARY_AGO_B2","B01","B","01","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,2,0.1382
"PRIMARY_AGO_B2","C01","C","01","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,1,2,1.1575
"PRIMARY_AGO_B2","D01","D","01","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,1,2,0.2859
"PRIMARY_AGO_B2","E01","E","01","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,1,2,0.8741
"PRIMARY_AGO_B2","F01","F","01","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,1,2,0.2866
"PRIMARY_AGO_B2","G01","G","01","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,1,2,0.6004
"PRIMARY_AGO_B2","H01","H","01","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,1,2,0.4243
"PRIMARY_AGO_B2","A02","A","02","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,2,0.1273
"PRIMARY_AGO_B2","B02","B","02","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,2,0.103
"PRIMARY_AGO_B2","C02","C","02","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,2,2,1.1603
"PRIMARY_AGO_B2","D02","D","02","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,2,2,0.2952
"PRIMARY_AGO_B2","E02","E","02","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,2,2,0.8718
"PRIMARY_AGO_B2","F02","F","02","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,2,2,0.2576
"PRIMARY_AGO_B2","G02","G","02","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,2,2,0.5461
"PRIMARY_AGO_B2","H02","H","02","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,2,2,0.4122
"PRIMARY_AGO_B2","A03","A","03","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,2,0.2457
"PRIMARY_AGO_B2","B03","B","03","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,2,0.2263
"PRIMARY_AGO_B2","C03","C","03","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,3,2,1.1487
"PRIMARY_AGO_B2","D03","D","03","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,3,2,0.3064
"PRIMARY_AGO_B2","E03","E","03","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,3,2,0.8978
"PRIMARY_AGO_B2","F03","F","03","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,3,2,0.2505
"PRIMARY_AGO_B2","G03","G","03","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,3,2,0.583
"PRIMARY_AGO_B2","H03","H","03","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,3,2,0.4278
"PRIMARY_AGO_B2","A04","A","04","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,2,0.2278
"PRIMARY_AGO_B2","B04","B","04","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,2,0.2128
"PRIMARY_AGO_B2","C04","C","04","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,1,2,1.1074
"PRIMARY_AGO_B2","D04","D","04","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,1,2,0.2608
"PRIMARY_AGO_B2","E04","E","04","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,1,2,0.8716
"PRIMARY_AGO_B2","F04","F","04","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,1,2,0.2731
"PRIMARY_AGO_B2","G04","G","04","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,1,2,0.594
"PRIMARY_AGO_B2","H04","H","04","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,1,2,0.4209
"PRIMARY_AGO_B2","A05","A","05","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,1,2,1.3699
"PRIMARY_AGO_B2","B05","B","05","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,1,2,1.407
"PRIMARY_AGO_B2","C05","C","05","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,2,2,1.1167
"PRIMARY_AGO_B2","D05","D","05","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,2,2,0.2921
"PRIMARY_AGO_B2","E05","E","05","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,2,2,0.8616
"PRIMARY_AGO_B2","F05","F","05","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,2,2,0.2576
"PRIMARY_AGO_B2","G05","G","05","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,2,2,0.5738
"PRIMARY_AGO_B2","H05","H","05","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,2,2,0.4024
"PRIMARY_AGO_B2","A06","A","06","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,2,2,1.3895
"PRIMARY_AGO_B2","B06","B","06","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,2,2,1.3722
"PRIMARY_AGO_B2","C06","C","06","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,3,2,1.1203
"PRIMARY_AGO_B2","D06","D","06","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,3,2,0.2799
"PRIMARY_AGO_B2","E06","E","06","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,3,2,0.8368
"PRIMARY_AGO_B2","F06","F","06","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,3,2,0.2524
"PRIMARY_AGO_B2","G06","G","06","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,3,2,0.5597
"PRIMARY_AGO_B2","H06","H","06","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,3,2,0.454
"PRIMARY_AGO_B2","A07","A","07","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,1,2,0.8028
"PRIMARY_AGO_B2","B07","B","07","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,1,2,0.8127
"PRIMARY_AGO_B2","C07","C","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","D07","D","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","E07","E","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","F07","F","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","G07","G","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","H07","H","07","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","A08","A","08","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,2,2,0.8001
"PRIMARY_AGO_B2","B08","B","08","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,2,2,0.7806
"PRIMARY_AGO_B2","C08","C","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","D08","D","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","E08","E","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","F08","F","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","G08","G","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","H08","H","08","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","A09","A","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","B09","B","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","C09","C","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","D09","D","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","E09","E","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","F09","F","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","G09","G","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","H09","H","09","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","A10","A","10","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","B10","B","10","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","C10","C","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2,0.2325
"PRIMARY_AGO_B2","D10","D","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2,0.2101
"PRIMARY_AGO_B2","E10","E","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2,0.23
"PRIMARY_AGO_B2","F10","F","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2,0.2214
"PRIMARY_AGO_B2","G10","G","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2,0.2177
"PRIMARY_AGO_B2","H10","H","10","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2,0.2095
"PRIMARY_AGO_B2","A11","A","11","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
"PRIMARY_AGO_B2","B11","B","11","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2,NA
