"row","col","well","plate_id","assay_stage","assay_mode","target_id","sample_id","peptide_id","expected_activity","control_type","concentration_uM","technical_replicate","biological_replicate"
"F","04","F04","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,1,1
"G","04","G04","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,1,1
"H","04","H04","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,1,1
"A","05","A05","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,1,1
"B","05","B05","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,1,1
"C","05","C05","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,2,1
"D","05","D05","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,2,1
"E","05","E05","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,2,1
"F","05","F05","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,2,1
"G","05","G05","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,2,1
"H","05","H05","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,2,1
"A","06","A06","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,2,1
"B","06","B06","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,2,1
"C","06","C06","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,3,1
"D","06","D06","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,3,1
"E","06","E06","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,3,1
"F","06","F06","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,3,1
"G","06","G06","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,3,1
"H","06","H06","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,3,1
"A","07","A07","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,1,1
"B","07","B07","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,1,1
"C","07","C07","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"D","07","D07","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"E","07","E07","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"F","07","F07","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"G","07","G07","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"H","07","H07","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"A","08","A08","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,2,1
"B","08","B08","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,2,1
"C","08","C08","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"D","08","D08","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"E","08","E08","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"F","08","F08","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"G","08","G08","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"H","08","H08","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"A","09","A09","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"B","09","B09","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"C","09","C09","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"D","09","D09","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"E","09","E09","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"F","09","F09","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"G","09","G09","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"H","09","H09","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"A","10","A10","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"B","10","B10","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"C","10","C10","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1
"D","10","D10","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1
"E","10","E10","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1
"F","10","F10","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1
"G","10","G10","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1
"H","10","H10","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,1
"A","11","A11","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"B","11","B11","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"C","11","C11","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1
"D","11","D11","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1
"E","11","E11","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1
"F","11","F11","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1
"G","11","G11","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1
"H","11","H11","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,1
"A","12","A12","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"B","12","B12","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"C","12","C12","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1
"D","12","D12","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1
"E","12","E12","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1
"F","12","F12","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1
"G","12","G12","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1
"H","12","H12","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,1
"A","01","A01","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,2
"B","01","B01","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,2
"C","01","C01","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,1,2
"D","01","D01","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,1,2
"E","01","E01","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,1,2
"F","01","F01","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,1,2
"G","01","G01","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,1,2
"H","01","H01","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,1,2
"A","02","A02","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,2
"B","02","B02","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,2
"C","02","C02","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,2,2
"D","02","D02","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,2,2
"E","02","E02","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,2,2
"F","02","F02","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,2,2
"G","02","G02","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,2,2
"H","02","H02","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,2,2
"A","03","A03","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,2
"B","03","B03","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,2
"C","03","C03","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,3,2
"D","03","D03","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,3,2
"E","03","E03","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,3,2
"F","03","F03","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,3,2
"G","03","G03","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,3,2
"H","03","H03","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,3,2
"A","04","A04","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,2
"B","04","B04","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,2
"C","04","C04","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,1,2
"D","04","D04","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,1,2
"E","04","E04","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,1,2
"F","04","F04","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,1,2
"G","04","G04","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,1,2
"H","04","H04","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,1,2
"A","05","A05","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,1,2
"B","05","B05","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,1,2
"C","05","C05","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,2,2
"D","05","D05","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,2,2
"E","05","E05","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,2,2
"F","05","F05","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,2,2
"G","05","G05","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,2,2
"H","05","H05","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,2,2
"A","06","A06","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,2,2
"B","06","B06","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,2,2
"C","06","C06","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,3,2
"D","06","D06","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,3,2
"E","06","E06","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,3,2
"F","06","F06","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_10uM","PEP-004","unknown","test_sample",10,3,2
"G","06","G06","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_10uM","PEP-005","unknown","test_sample",10,3,2
"H","06","H06","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_10uM","PEP-006","unknown","test_sample",10,3,2
"A","07","A07","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,1,2
"B","07","B07","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,1,2
"C","07","C07","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"D","07","D07","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"E","07","E07","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"F","07","F07","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"G","07","G07","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"H","07","H07","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"A","08","A08","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,2,2
"B","08","B08","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,2,2
"C","08","C08","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"D","08","D08","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"E","08","E08","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"F","08","F08","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"G","08","G08","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"H","08","H08","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"A","09","A09","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"B","09","B09","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"C","09","C09","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"D","09","D09","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"E","09","E09","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"F","09","F09","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"G","09","G09","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"H","09","H09","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"A","10","A10","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"B","10","B10","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"C","10","C10","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2
"D","10","D10","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2
"E","10","E10","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2
"F","10","F10","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2
"G","10","G10","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2
"H","10","H10","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,1,2
"A","11","A11","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"B","11","B11","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"C","11","C11","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,2
"D","11","D11","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,2
"E","11","E11","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,2
"F","11","F11","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,2
"G","11","G11","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,2
"H","11","H11","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,2,2
"A","12","A12","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"B","12","B12","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,2
"C","12","C12","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,2
"D","12","D12","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,2
"E","12","E12","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,2
"F","12","F12","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,2
